"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Smith","Texas",69080,68.85,29615,29.52,1639,1.63,100334
"Somervell","Texas",4105,82.98,768,15.52,74,1.5,4947
"Starr","Texas",8247,47.06,9123,52.06,155,0.88,17525
"Stephens","Texas",3385,88.96,397,10.43,23,0.61,3805
"Sterling","Texas",584,91.39,51,7.98,4,0.63,639
"Stonewall","Texas",615,83.56,116,15.76,5,0.68,736
"Sutton","Texas",1222,78.48,322,20.68,13,0.84,1557
"Swisher","Texas",1845,78.34,478,20.3,32,1.36,2355
"Tarrant","Texas",409741,49.09,411567,49.31,13389,1.6,834697
"Taylor","Texas",39547,71.73,14588,26.46,1000,1.81,55135
"Terrell","Texas",334,72.93,119,25.98,5,1.09,458
"Terry","Texas",2812,77.85,757,20.96,43,1.19,3612
"Throckmorton","Texas",806,90.16,82,9.17,6,0.67,894
"Titus","Texas",7570,71.81,2856,27.09,115,1.1,10541
"Tom Green","Texas",32313,71.47,12239,27.07,658,1.46,45210
"Travis","Texas",161337,26.43,435860,71.41,13152,2.16,610349
"Trinity","Texas",5579,80.41,1323,19.07,36,0.52,6938
"Tyler","Texas",8194,84.82,1403,14.52,63,0.66,9660
"Upshur","Texas",15809,83.56,2877,15.21,233,1.23,18919
"Upton","Texas",1178,86.11,170,12.43,20,1.46,1368
"Uvalde","Texas",6174,59.69,4073,39.38,97,0.93,10344
"Val Verde","Texas",8284,54.21,6771,44.31,225,1.48,15280
"Van Zandt","Texas",22270,85.56,3516,13.51,243,0.93,26029
"Victoria","Texas",23358,68.25,10380,30.33,488,1.42,34226
"Walker","Texas",15375,65.12,7884,33.39,353,1.49,23612
"Waller","Texas",14260,62.73,8191,36.03,283,1.24,22734
"Ward","Texas",3241,79.83,764,18.82,55,1.35,4060
"Washington","Texas",12959,74.27,4261,24.42,229,1.31,17449
"Webb","Texas",25898,37.8,41820,61.05,788,1.15,68506
"Wharton","Texas",11926,71.15,4694,28.01,141,0.84,16761
"Wheeler","Texas",2159,92.38,168,7.19,10,0.43,2337
"Wichita","Texas",32069,69.65,13161,28.59,810,1.76,46040
"Wilbarger","Texas",3524,77.9,956,21.13,44,0.97,4524
"Willacy","Texas",2441,43.99,3108,56.01,0,0,5549
"Williamson","Texas",139729,48.15,143795,49.56,6644,2.29,290168
"Wilson","Texas",18463,73.76,6350,25.37,219,0.87,25032
"Winkler","Texas",1753,82.46,358,16.84,15,0.7,2126
"Wise","Texas",27032,83.52,4973,15.37,360,1.11,32365
"Wood","Texas",19049,83.63,3509,15.4,221,0.97,22779
"Yoakum","Texas",2174,82.63,420,15.96,37,1.41,2631
"Young","Texas",7110,86.3,1034,12.55,95,1.15,8239
"Zapata","Texas",2033,52.48,1826,47.13,15,0.39,3874
"Zavala","Texas",1490,34.03,2864,65.4,25,0.57,4379
"Beaver","Utah",2695,86.94,357,11.52,23,0.74,3100
"Box Elder","Utah",21548,78.87,4473,16.37,614,2.25,27320
"Cache","Utah",38032,65.17,16650,28.53,1796,3.08,58358
"Carbon","Utah",6693,71.05,2392,25.39,151,1.6,9420
"Daggett","Utah",496,79.74,111,17.85,7,1.13,622
"Davis","Utah",104135,60.04,57411,33.1,5004,2.89,173434
"Duchesne","Utah",7513,87.75,843,9.85,107,1.25,8562
"Emery","Utah",4207,85.89,572,11.68,47,0.96,4898
"Garfield","Utah",2158,78.99,514,18.81,37,1.35,2732
"Grand","Utah",2248,43.19,2806,53.91,62,1.19,5205
"Iron","Utah",18989,75.64,4892,19.49,666,2.65,25104
"Juab","Utah",5087,86.18,645,10.93,91,1.54,5903
"Kane","Utah",2998,71.3,1083,25.76,51,1.21,4205
"Millard","Utah",5404,87.3,624,10.08,64,1.03,6190
"Morgan","Utah",5181,78.43,1086,16.44,160,2.42,6606
"Piute","Utah",773,88.44,86,9.84,7,0.8,874
"Rich","Utah",1157,84.51,180,13.15,14,1.02,1369
"Salt Lake","Utah",230174,42.11,289906,53.04,12219,2.24,546581
"San Juan","Utah",3535,51.2,3113,45.09,99,1.43,6904
"Sanpete","Utah",10459,82.19,1794,14.1,215,1.69,12725
"Sevier","Utah",9052,87.35,1084,10.46,133,1.28,10363
"Summit","Utah",10252,39,15244,57.99,367,1.4,26289
"Tooele","Utah",21014,66.67,8943,28.37,958,3.04,31518
"Uintah","Utah",13261,86.28,1663,10.82,226,1.47,15370
