"County","State","Trump_Votes","Trump_Percent","Biden_Votes","Biden_Percent","Other_Votes","Other_Percent","Total_Votes"
"Autauga","Alabama",19838,71.44,7503,27.02,429,1.54,27770
"Baldwin","Alabama",83544,76.17,24578,22.41,1557,1.42,109679
"Barbour","Alabama",5622,53.45,4816,45.79,80,0.76,10518
"Bibb","Alabama",7525,78.43,1986,20.7,84,0.87,9595
"Blount","Alabama",24711,89.57,2640,9.57,237,0.86,27588
"Bullock","Alabama",1146,24.84,3446,74.7,21,0.46,4613
"Butler","Alabama",5458,57.53,3965,41.79,65,0.68,9488
"Calhoun","Alabama",35101,68.85,15216,29.85,666,1.3,50983
"Chambers","Alabama",8753,57.27,6365,41.64,166,1.09,15284
"Cherokee","Alabama",10583,86.03,1624,13.2,94,0.77,12301
"Chilton","Alabama",16085,83.3,3073,15.91,152,0.79,19310
"Choctaw","Alabama",4296,57.56,3127,41.89,41,0.55,7464
"Clarke","Alabama",7324,55.76,5755,43.81,56,0.43,13135
"Clay","Alabama",5601,80.82,1267,18.28,62,0.9,6930
"Cleburne","Alabama",6484,89.72,675,9.34,68,0.94,7227
"Coffee","Alabama",16899,75.87,5076,22.79,300,1.34,22275
"Colbert","Alabama",19203,68.86,8343,29.92,340,1.22,27886
"Conecuh","Alabama",3442,53.44,2966,46.05,33,0.51,6441
"Coosa","Alabama",3631,66.27,1796,32.78,52,0.95,5479
"Covington","Alabama",14586,83.68,2721,15.61,123,0.71,17430
"Crenshaw","Alabama",4864,73.51,1700,25.69,53,0.8,6617
"Cullman","Alabama",36880,88.12,4478,10.7,493,1.18,41851
"Dale","Alabama",14303,72.46,5170,26.19,265,1.35,19738
"Dallas","Alabama",5524,30.92,12230,68.46,110,0.62,17864
"DeKalb","Alabama",24767,84.37,4281,14.58,308,1.05,29356
"Elmore","Alabama",30164,73.52,10367,25.27,499,1.21,41030
"Escambia","Alabama",10869,68.32,4918,30.91,123,0.77,15910
"Etowah","Alabama",35528,74.44,11567,24.24,633,1.32,47728
"Fayette","Alabama",7300,83.28,1395,15.91,71,0.81,8766
"Franklin","Alabama",10376,82.49,2086,16.58,116,0.93,12578
"Geneva","Alabama",10848,86.47,1595,12.71,102,0.82,12545
"Greene","Alabama",875,18.32,3884,81.34,16,0.34,4775
"Hale","Alabama",3192,40.41,4663,59.03,45,0.56,7900
"Henry","Alabama",6607,71.06,2606,28.03,85,0.91,9298
"Houston","Alabama",32618,70.64,12917,27.98,638,1.38,46173
"Jackson","Alabama",19670,83.22,3717,15.73,249,1.05,23636
"Jefferson","Alabama",138843,42.61,181688,55.76,5317,1.63,325848
"Lamar","Alabama",6174,85.83,978,13.6,41,0.57,7193
"Lauderdale","Alabama",31721,71.54,11915,26.87,703,1.59,44339
"Lawrence","Alabama",12322,76.86,3562,22.22,147,0.92,16031
"Lee","Alabama",42221,59.09,27860,38.99,1368,1.92,71449
"Limestone","Alabama",34640,70.36,13672,27.77,923,1.87,49235
"Lowndes","Alabama",1836,26.86,4972,72.74,27,0.4,6835
"Macon","Alabama",1541,17.67,7108,81.49,74,0.84,8723
"Madison","Alabama",102780,52.77,87286,44.82,4701,2.41,194767
"Marengo","Alabama",5343,49.02,5488,50.35,69,0.63,10900
"Marion","Alabama",12205,88.4,1463,10.6,139,1,13807
"Marshall","Alabama",33191,83.7,5943,14.99,521,1.31,39655
"Mobile","Alabama",101243,55.27,79474,43.39,2447,1.34,183164
"Monroe","Alabama",6147,57.62,4455,41.76,66,0.62,10668
"Montgomery","Alabama",33311,33.6,64529,65.09,1299,1.31,99139
"Morgan","Alabama",39664,73.83,13234,24.63,824,1.54,53722
"Perry","Alabama",1339,25.6,3860,73.8,31,0.6,5230
"Pickens","Alabama",5594,57.86,4022,41.6,52,0.54,9668
"Pike","Alabama",8042,58.1,5636,40.72,163,1.18,13841
"Randolph","Alabama",8559,78.98,2203,20.33,75,0.69,10837
"Russell","Alabama",9864,46.25,11228,52.64,237,1.11,21329
"Shelby","Alabama",79700,69.33,33268,28.94,1982,1.73,114950
"St. Clair","Alabama",36166,81.38,7744,17.43,531,1.19,44441
"Sumter","Alabama",1598,25.4,4648,73.88,45,0.72,6291
"Talladega","Alabama",22235,62.35,13138,36.84,290,0.81,35663
"Tallapoosa","Alabama",14963,71.28,5859,27.91,169,0.81,20991
"Tuscaloosa","Alabama",51117,56.69,37765,41.88,1290,1.43,90172
"Walker","Alabama",26002,83.42,4834,15.51,334,1.07,31170
"Washington","Alabama",6564,73.95,2258,25.44,54,0.61,8876
"Wilcox","Alabama",1833,31.05,4048,68.58,22,0.37,5903
"Winston","Alabama",10195,90.35,974,8.63,115,1.02,11284
"270 to Win","Alaska",49.4,NA,43.8,NA,6.8,NA,100
"FiveThirtyEight","Alaska",51.2,NA,43.6,NA,5.2,NA,100
"Average","Alaska",50.3,NA,43.7,NA,6,NA,100
"Apache","Arizona",11442,32.44,23293,66.05,533,1.51,35268
"Cochise","Arizona",35557,58.61,23732,39.12,1376,2.27,60665
"Coconino","Arizona",27052,36.74,44698,60.7,1882,2.56,73632
"Gila","Arizona",18377,66.26,8943,32.24,415,1.5,27735
"Graham","Arizona",10749,71.52,4034,26.84,246,1.64,15029
"Greenlee","Arizona",2433,65.83,1182,31.98,81,2.19,3696
"La Paz","Arizona",5129,68.64,2236,29.93,107,1.43,7472
"Maricopa","Arizona",995665,47.96,1040774,50.13,39647,1.91,2076086
"Mohave","Arizona",78535,74.88,24831,23.67,1517,1.45,104883
"Navajo","Arizona",27657,53.26,23383,45.03,890,1.71,51930
"Pima","Arizona",207758,39.79,304981,58.41,9435,1.81,522174
"Pinal","Arizona",107077,57.72,75106,40.48,3342,1.8,185525
"Santa Cruz","Arizona",6194,31.63,13138,67.1,249,1.27,19581
"Yavapai","Arizona",91527,63.72,49602,34.53,2511,1.75,143640
"Yuma","Arizona",36534,52.14,32210,45.97,1328,1.9,70072
"Arkansas","Arkansas",4304,68.4,1818,28.89,170,2.71,6292
"Ashley","Arkansas",5548,70,2125,26.81,253,3.19,7926
"Baxter","Arkansas",15836,75.38,4635,22.06,536,2.56,21007
"Benton","Arkansas",73965,61.68,42249,35.23,3698,3.09,119912
"Boone","Arkansas",13652,79.77,3064,17.9,398,2.33,17114
"Bradley","Arkansas",2335,63.9,1214,33.22,105,2.88,3654
"Calhoun","Arkansas",1636,74.98,479,21.95,67,3.07,2182
"Carroll","Arkansas",7424,62.93,4023,34.1,350,2.97,11797
"Chicot","Arkansas",1752,42.7,2260,55.08,91,2.22,4103
"Clark","Arkansas",4616,54.99,3438,40.95,341,4.06,8395
"Clay","Arkansas",4086,78.83,962,18.56,135,2.61,5183
"Cleburne","Arkansas",10328,81.45,1988,15.68,364,2.87,12680
"Cleveland","Arkansas",2867,79.64,651,18.08,82,2.28,3600
"Columbia","Arkansas",5500,63.83,2814,32.66,302,3.51,8616
"Conway","Arkansas",5694,65.56,2615,30.11,376,4.33,8685
"Craighead","Arkansas",25558,66.37,11921,30.95,1032,2.68,38511
"Crawford","Arkansas",18607,77.24,4959,20.58,525,2.18,24091
"Crittenden","Arkansas",7333,44.8,8514,52.02,520,3.18,16367
"Cross","Arkansas",4946,71.25,1772,25.53,224,3.22,6942
"Dallas","Arkansas",1573,59.38,963,36.35,113,4.27,2649
"Desha","Arkansas",1921,46.13,2016,48.41,227,5.46,4164
"Drew","Arkansas",4349,62.96,2426,35.12,133,1.92,6908
"Faulkner","Arkansas",34421,63.24,18347,33.71,1660,3.05,54428
"Franklin","Arkansas",5677,79.63,1300,18.24,152,2.13,7129
"Fulton","Arkansas",3961,77.38,1035,20.22,123,2.4,5119
"Garland","Arkansas",29069,65.77,14045,31.78,1085,2.45,44199
"Grant","Arkansas",6794,82.85,1268,15.46,138,1.69,8200
"Greene","Arkansas",12670,78.7,3058,18.99,372,2.31,16100
"Hempstead","Arkansas",4470,65.27,2138,31.22,240,3.51,6848
"Hot Spring","Arkansas",9202,73.28,3082,24.54,273,2.18,12557
"Howard","Arkansas",3367,69.65,1340,27.72,127,2.63,4834
"Independence","Arkansas",11250,77.52,2806,19.34,456,3.14,14512
"Izard","Arkansas",4631,79.71,1021,17.57,158,2.72,5810
"Jackson","Arkansas",3593,70.58,1365,26.81,133,2.61,5091
"Jefferson","Arkansas",9521,37.84,14981,59.55,656,2.61,25158
"Johnson","Arkansas",6938,73.05,2283,24.04,277,2.91,9498
"Lafayette","Arkansas",1757,65.58,839,31.32,83,3.1,2679
"Lawrence","Arkansas",4569,78.01,1080,18.44,208,3.55,5857
"Lee","Arkansas",1286,45.15,1423,49.96,139,4.89,2848
"Lincoln","Arkansas",2729,70.43,1032,26.63,114,2.94,3875
"Little River","Arkansas",3715,71.76,1226,23.68,236,4.56,5177
"Logan","Arkansas",6441,78.31,1544,18.77,240,2.92,8225
"Lonoke","Arkansas",22884,74.63,6686,21.81,1092,3.56,30662
"Madison","Arkansas",5658,76.97,1563,21.26,130,1.77,7351
"Marion","Arkansas",5783,77.08,1531,20.41,189,2.51,7503
"Miller","Arkansas",11920,72.12,4245,25.68,364,2.2,16529
"Mississippi","Arkansas",7296,59.12,4558,36.93,488,3.95,12342
"Monroe","Arkansas",1545,54.87,1147,40.73,124,4.4,2816
"Montgomery","Arkansas",3046,78.65,731,18.87,96,2.48,3873
"Nevada","Arkansas",2133,63.52,1076,32.04,149,4.44,3358
"Newton","Arkansas",3192,79.84,709,17.73,97,2.43,3998
"Ouachita","Arkansas",5294,54.98,3995,41.49,340,3.53,9629
"Perry","Arkansas",3479,75.19,1012,21.87,136,2.94,4627
"Phillips","Arkansas",2417,38.72,3623,58.04,202,3.24,6242
"Pike","Arkansas",3519,82.88,644,15.17,83,1.95,4246
"Poinsett","Arkansas",5918,78.69,1424,18.93,179,2.38,7521
"Polk","Arkansas",7035,82.86,1246,14.68,209,2.46,8490
"Pope","Arkansas",18081,74.01,5772,23.62,579,2.37,24432
"Prairie","Arkansas",2786,79.71,654,18.71,55,1.58,3495
"Pulaski","Arkansas",63687,37.47,101947,59.98,4322,2.55,169956
"Randolph","Arkansas",5355,78.61,1215,17.84,242,3.55,6812
"St. Francis","Arkansas",3242,45.61,3604,50.7,262,3.69,7108
"Saline","Arkansas",39556,69.45,16060,28.2,1343,2.35,56959
"Scott","Arkansas",2962,83.41,483,13.6,106,2.99,3551
"Searcy","Arkansas",3365,83.73,588,14.63,66,1.64,4019
"Sebastian","Arkansas",31198,66.18,14487,30.73,1455,3.09,47140
"Sevier","Arkansas",3884,74.66,1116,21.45,202,3.89,5202
"Sharp","Arkansas",5938,78.48,1398,18.48,230,3.04,7566
"Stone","Arkansas",4616,77.74,1180,19.87,142,2.39,5938
"Union","Arkansas",10478,63.09,5584,33.62,545,3.29,16607
"Van Buren","Arkansas",6034,77.29,1593,20.4,180,2.31,7807
"Washington","Arkansas",47504,50.39,43824,46.49,2938,3.12,94266
"White","Arkansas",24182,78.3,5978,19.36,725,2.34,30885
"Woodruff","Arkansas",1543,62.32,856,34.57,77,3.11,2476
"Yell","Arkansas",5226,77.53,1284,19.05,231,3.42,6741
"Alameda","California",136309,17.62,617659,79.83,19785,2.55,773753
"Alpine","California",244,32.71,476,63.81,26,3.48,746
"Amador","California",13585,60.66,8153,36.4,659,2.94,22397
"Butte","California",48819,47.6,50815,49.54,2931,2.86,102565
"Calaveras","California",16518,60.57,10046,36.84,708,2.59,27272
"Colusa","California",4559,57.27,3239,40.69,163,2.04,7961
"Contra Costa","California",152877,26.3,416386,71.63,12053,2.07,581316
"Del Norte","California",6461,56.41,4677,40.84,315,2.75,11453
"El Dorado","California",61838,53.24,51621,44.44,2700,2.32,116159
"Fresno","California",164464,45.07,193025,52.9,7428,2.03,364917
"Glenn","California",7063,62.52,3995,35.36,239,2.12,11297
"Humboldt","California",21770,31.36,44768,64.48,2886,4.16,69424
"Imperial","California",20847,36.74,34678,61.11,1218,2.15,56743
"Inyo","California",4620,48.71,4634,48.86,230,2.43,9484
"Kern","California",164484,53.88,133366,43.68,7442,2.44,305292
"Kings","California",24072,54.88,18699,42.63,1090,2.49,43861
"Lake","California",13123,45.27,14941,51.55,922,3.18,28986
"Lassen","California",8970,74.47,2799,23.24,276,2.29,12045
"Los Angeles","California",1145530,26.74,3028885,70.7,109530,2.56,4283945
"Madera","California",29378,54.68,23168,43.12,1186,2.2,53732
"Marin","California",24612,15.79,128288,82.33,2930,1.88,155830
"Mariposa","California",5950,57.88,4088,39.77,242,2.35,10280
"Mendocino","California",13267,30.61,28782,66.41,1291,2.98,43340
"Merced","California",39397,43.3,48991,53.84,2605,2.86,90993
"Modoc","California",3109,71.19,1150,26.33,108,2.48,4367
"Mono","California",2513,37.3,4013,59.56,212,3.14,6738
"Monterey","California",46299,28.24,113953,69.52,3671,2.24,163923
"Napa","California",20676,28.66,49817,69.05,1657,2.29,72150
"Nevada","California",26779,41.07,36359,55.76,2064,3.17,65202
"Orange","California",676498,44.44,814009,53.48,31606,2.08,1522113
"Placer","California",122488,52.1,106869,45.46,5727,2.44,235084
"Plumas","California",6445,57.24,4561,40.51,254,2.25,11260
"Riverside","California",449144,45.04,528340,52.98,19672,1.98,997156
"Sacramento","California",259405,36.11,440808,61.36,18227,2.53,718440
"San Benito","California",10590,36.73,17628,61.14,612,2.13,28830
"San Bernardino","California",366257,43.54,455859,54.2,19014,2.26,841130
"San Diego","California",600094,37.46,964650,60.21,37399,2.33,1602143
"San Francisco","California",56417,12.72,378156,85.26,8980,2.02,443553
"San Joaquin","California",121098,41.79,161137,55.61,7546,2.6,289781
"San Luis Obispo","California",67436,42.22,88310,55.29,3968,2.49,159714
"San Mateo","California",75584,20.2,291496,77.89,7171,1.91,374251
"Santa Barbara","California",65736,32.63,129963,64.52,5733,2.85,201432
"Santa Clara","California",214612,25.23,617967,72.64,18162,2.13,850741
"Santa Cruz","California",26937,18.49,114246,78.44,4466,3.07,145649
"Shasta","California",60789,65.41,30000,32.28,2141,2.31,92930
"Sierra","California",1142,58.65,730,37.49,75,3.86,1947
"Siskiyou","California",13290,56.62,9593,40.87,589,2.51,23472
"Solano","California",69306,33.51,131639,63.65,5886,2.84,206831
"Sonoma","California",61825,23.04,199938,74.52,6554,2.44,268317
"Stanislaus","California",104145,48.22,105841,49,6001,2.78,215987
"Sutter","California",24375,57.16,17367,40.73,902,2.11,42644
"Tehama","California",19141,66.62,8911,31.02,679,2.36,28731
"Trinity","California",3188,50.36,2851,45.04,291,4.6,6330
"Tulare","California",77579,52.82,66105,45,3201,2.18,146885
"Tuolumne","California",17689,58.17,11978,39.39,741,2.44,30408
"Ventura","California",162207,38.36,251388,59.45,9230,2.19,422825
"Yolo","California",27292,28.05,67598,69.48,2404,2.47,97294
"Yuba","California",17676,59.32,11230,37.69,890,2.99,29796
"Adams","Colorado",95657,40.41,134202,56.69,6881,2.9,236740
"Alamosa","Colorado",3813,48.83,3759,48.14,236,3.03,7808
"Arapahoe","Colorado",127323,36.36,213607,61,9253,2.64,350183
"Archuleta","Colorado",5189,56.75,3738,40.88,217,2.37,9144
"Baca","Colorado",1867,83.91,317,14.25,41,1.84,2225
"Bent","Colorado",1503,66.09,732,32.19,39,1.72,2274
"Boulder","Colorado",42501,20.62,159089,77.19,4521,2.19,206111
"Broomfield","Colorado",16295,34.94,29077,62.35,1260,2.71,46632
"Chaffee","Colorado",6222,45.36,7160,52.19,336,2.45,13718
"Cheyenne","Colorado",993,87.41,131,11.53,12,1.06,1136
"Clear Creek","Colorado",2754,42.06,3604,55.04,190,2.9,6548
"Conejos","Colorado",2286,52.76,1959,45.21,88,2.03,4333
"Costilla","Colorado",741,35.39,1311,62.61,42,2,2094
"Crowley","Colorado",1271,72.63,437,24.97,42,2.4,1750
"Custer","Colorado",2474,68.06,1112,30.59,49,1.35,3635
"Delta","Colorado",13081,67.53,5887,30.39,402,2.08,19370
"Denver","Colorado",71618,18.19,313293,79.55,8918,2.26,393829
"Dolores","Colorado",1089,75.16,341,23.53,19,1.31,1449
"Douglas","Colorado",121270,52.36,104653,45.19,5682,2.45,231605
"Eagle","Colorado",9892,33.95,18588,63.79,660,2.26,29140
"El Paso","Colorado",202828,53.54,161941,42.75,14082,3.71,378851
"Elbert","Colorado",14027,73.89,4490,23.65,466,2.46,18983
"Fremont","Colorado",17517,68.54,7369,28.83,671,2.63,25557
"Garfield","Colorado",14717,47.62,15427,49.92,760,2.46,30904
"Gilpin","Colorado",1833,43.79,2223,53.11,130,3.1,4186
"Grand","Colorado",4883,49.47,4710,47.72,277,2.81,9870
"Gunnison","Colorado",3735,33.38,7132,63.74,323,2.88,11190
"Hinsdale","Colorado",353,55.85,255,40.35,24,3.8,632
"Huerfano","Colorado",2203,50,2076,47.12,127,2.88,4406
"Jackson","Colorado",681,77.74,175,19.98,20,2.28,876
"Jefferson","Colorado",148417,39.33,218396,57.88,10545,2.79,377358
"Kiowa","Colorado",795,88.04,98,10.85,10,1.11,903
"Kit Carson","Colorado",3144,81.22,662,17.1,65,1.68,3871
"La Plata","Colorado",14233,39.91,20548,57.61,886,2.48,35667
"Lake","Colorado",1497,37.79,2303,58.14,161,4.07,3961
"Larimer","Colorado",91489,40.78,126120,56.22,6729,3,224338
"Las Animas","Colorado",4284,53.81,3497,43.93,180,2.26,7961
"Lincoln","Colorado",2135,80.54,470,17.73,46,1.73,2651
"Logan","Colorado",8087,76.79,2218,21.06,227,2.15,10532
"Mesa","Colorado",56894,62.78,31536,34.8,2193,2.42,90623
"Mineral","Colorado",427,56.48,317,41.93,12,1.59,756
"Moffat","Colorado",5670,80.7,1203,17.12,153,2.18,7026
"Montezuma","Colorado",9306,60.04,5836,37.65,358,2.31,15500
"Montrose","Colorado",16770,67.29,7687,30.84,465,1.87,24922
"Morgan","Colorado",9593,68.8,3876,28.2,275,2,13744
"Otero","Colorado",5756,60.11,3605,37.65,215,2.24,9576
"Ouray","Colorado",1577,39.23,2365,58.83,78,1.94,4020
"Park","Colorado",6991,56.88,4903,39.89,397,3.23,12291
"Phillips","Colorado",1958,78.79,486,19.56,41,1.65,2485
"Pitkin","Colorado",2780,23.25,8989,75.18,188,1.57,11957
"Prowers","Colorado",4008,72.07,1458,26.22,95,1.71,5561
"Pueblo","Colorado",42252,47.85,43772,49.57,2277,2.58,88301
"Rio Blanco","Colorado",3061,82.93,561,15.2,69,1.87,3691
"Rio Grande","Colorado",3660,58.05,2495,39.57,150,2.38,6305
"Routt","Colorado",5925,35.11,10582,62.7,369,2.19,16876
"Saguache","Colorado",1413,41.69,1884,55.59,92,2.72,3389
"San Juan","Colorado",202,35.94,342,60.85,18,3.21,562
"San Miguel","Colorado",1136,22.07,3924,76.24,87,1.69,5147
"Sedgwick","Colorado",1121,77.52,301,20.82,24,1.66,1446
"Summit","Colorado",5322,28.8,12631,68.35,526,2.85,18479
"Teller","Colorado",11241,66.36,5278,31.16,420,2.48,16939
"Washington","Colorado",2595,86.27,369,12.27,44,1.46,3008
"Weld","Colorado",96145,57.58,66060,39.56,4769,2.86,166974
"Yuma","Colorado",4107,82.45,785,15.76,89,1.79,4981
"Fairfield","Connecticut",169039,35.74,297505,62.9,6446,1.36,472990
"Hartford","Connecticut",159024,35.39,283368,63.06,6944,1.55,449336
"Litchfield","Connecticut",55601,51.7,50164,46.65,1779,1.65,107544
"Middlesex","Connecticut",40665,40.99,56848,57.3,1690,1.7,99203
"New Haven","Connecticut",169893,40.65,242630,58.05,5460,1.31,417983
"New London","Connecticut",57110,40.91,79459,56.92,3035,2.17,139604
"Tolland","Connecticut",34838,43.16,44151,54.7,1725,2.14,80714
"Windham","Connecticut",29141,51.05,26706,46.79,1235,2.16,57082
"Kent","Delaware",41009,47.12,44552,51.19,1464,1.69,87025
"New Castle","Delaware",88364,30.72,195034,67.81,4235,1.47,287633
"Sussex","Delaware",71230,55.07,56682,43.82,1440,1.11,129352
"Alachua","Florida",50972,35.63,89704,62.71,2371,1.66,143047
"Baker","Florida",11911,84.58,2037,14.47,134,0.95,14082
"Bay","Florida",66097,70.91,25614,27.48,1502,1.61,93213
"Bradford","Florida",10334,75.71,3160,23.15,156,1.14,13650
"Brevard","Florida",207883,57.48,148549,41.08,5221,1.44,361653
"Broward","Florida",333409,34.74,618752,64.48,7479,0.78,959640
"Calhoun","Florida",5274,80.68,1209,18.49,54,0.83,6537
"Charlotte","Florida",73243,62.84,42273,36.27,1042,0.89,116558
"Citrus","Florida",65352,69.98,27092,29.01,944,1.01,93388
"Clay","Florida",84480,67.77,38317,30.74,1863,1.49,124660
"Collier","Florida",128950,61.91,77621,37.27,1714,0.82,208285
"Columbia","Florida",23836,72.03,8914,26.94,342,1.03,33092
"DeSoto","Florida",8313,65.58,4259,33.6,104,0.82,12676
"Dixie","Florida",6759,82.7,1365,16.7,49,0.6,8173
"Duval","Florida",233762,47.3,252556,51.11,7843,1.59,494161
"Escambia","Florida",96674,56.58,70929,41.51,3253,1.91,170856
"Flagler","Florida",43043,59.9,28161,39.19,659,0.91,71863
"Franklin","Florida",4675,68.16,2120,30.91,64,0.93,6859
"Gadsden","Florida",7465,31.42,16153,67.98,144,0.6,23762
"Gilchrist","Florida",7895,81.37,1700,17.52,107,1.11,9702
"Glades","Florida",3782,72.69,1385,26.62,36,0.69,5203
"Gulf","Florida",6113,74.8,1985,24.29,74,0.91,8172
"Hamilton","Florida",3815,65.33,1963,33.61,62,1.06,5840
"Hardee","Florida",6122,72.01,2298,27.03,82,0.96,8502
"Hendry","Florida",7906,61.02,4929,38.04,121,0.94,12956
"Hernando","Florida",70412,64.51,37519,34.37,1219,1.12,109150
"Highlands","Florida",34873,66.75,16938,32.42,432,0.83,52243
"Hillsborough","Florida",327398,45.85,376367,52.71,10303,1.44,714068
"Holmes","Florida",8080,89.01,924,10.18,74,0.81,9078
"Indian River","Florida",58872,60.23,37844,38.72,1024,1.05,97740
"Jackson","Florida",15488,68.97,6766,30.13,202,0.9,22456
"Jefferson","Florida",4479,52.89,3897,46.02,92,1.09,8468
"Lafayette","Florida",3128,85.42,510,13.93,24,0.65,3662
"Lake","Florida",125859,59.56,83505,39.52,1950,0.92,211314
"Lee","Florida",233247,59.09,157695,39.95,3816,0.96,394758
"Leon","Florida",57453,35.14,103517,63.32,2506,1.54,163476
"Levy","Florida",16749,72.24,6205,26.76,231,1,23185
"Liberty","Florida",2846,79.83,694,19.47,25,0.7,3565
"Madison","Florida",5576,59.36,3747,39.89,70,0.75,9393
"Manatee","Florida",124987,57.47,90166,41.46,2319,1.07,217472
"Marion","Florida",127826,62.44,74858,36.57,2032,0.99,204716
"Martin","Florida",61168,61.82,36893,37.29,881,0.89,98942
"Miami-Dade","Florida",532833,45.98,617864,53.31,8221,0.71,1158918
"Monroe","Florida",25693,53.38,21881,45.46,561,1.16,48135
"Nassau","Florida",42566,72.25,15564,26.42,785,1.33,58915
"Okaloosa","Florida",79798,68.35,34248,29.34,2697,2.31,116743
"Okeechobee","Florida",11470,71.76,4390,27.46,124,0.78,15984
"Orange","Florida",245398,37.8,395014,60.85,8745,1.35,649157
"Osceola","Florida",73480,42.53,97297,56.31,2007,1.16,172784
"Palm Beach","Florida",334711,43.21,433572,55.97,6314,0.82,774597
"Pasco","Florida",179621,59.36,119073,39.35,3927,1.29,302621
"Pinellas","Florida",276209,49.22,277450,49.44,7502,1.34,561161
"Polk","Florida",194586,56.56,145049,42.16,4391,1.28,344026
"Putnam","Florida",25514,70.05,10527,28.9,381,1.05,36422
"St. Johns","Florida",110946,62.66,63850,36.06,2251,1.28,177047
"St. Lucie","Florida",86831,50.38,84137,48.82,1381,0.8,172349
"Santa Rosa","Florida",77385,72.19,27612,25.76,2201,2.05,107198
"Sarasota","Florida",148370,54.71,120110,44.29,2689,1,271169
"Seminole","Florida",125241,47.89,132528,50.67,3764,1.44,261533
"Sumter","Florida",62761,67.76,29341,31.68,522,0.56,92624
"Suwannee","Florida",16410,77.84,4485,21.27,188,0.89,21083
"Taylor","Florida",7751,76.45,2299,22.68,88,0.87,10138
"Union","Florida",5133,82.11,1053,16.85,65,1.04,6251
"Volusia","Florida",173821,56.42,130575,42.38,3713,1.2,308109
"Wakulla","Florida",12874,69.79,5351,29.01,223,1.2,18448
"Walton","Florida",32947,75.23,10338,23.61,510,1.16,43795
"Washington","Florida",9876,80.06,2347,19.03,112,0.91,12335
"Appling","Georgia",6570,78.31,1784,21.26,36,0.43,8390
"Atkinson","Georgia",2300,72.9,825,26.15,30,0.95,3155
"Bacon","Georgia",4017,86.07,625,13.39,25,0.54,4667
"Baker","Georgia",897,57.68,652,41.93,6,0.39,1555
"Baldwin","Georgia",8903,48.75,9140,50.05,218,1.2,18261
"Banks","Georgia",7795,88.53,932,10.58,78,0.89,8805
"Barrow","Georgia",26804,70.64,10453,27.55,689,1.81,37946
"Bartow","Georgia",37672,74.62,12091,23.95,723,1.43,50486
"Ben Hill","Georgia",4111,62.63,2393,36.46,60,0.91,6564
"Berrien","Georgia",6419,82.89,1269,16.39,56,0.72,7744
"Bibb","Georgia",26559,37.53,43408,61.34,796,1.13,70763
"Bleckley","Georgia",4329,75.81,1312,22.98,69,1.21,5710
"Brantley","Georgia",6993,90.24,700,9.03,56,0.73,7749
"Brooks","Georgia",4261,60.01,2791,39.3,49,0.69,7101
"Bryan","Georgia",14240,66.7,6738,31.56,371,1.74,21349
"Bulloch","Georgia",18387,61.07,11248,37.36,474,1.57,30109
"Burke","Georgia",5400,50.54,5208,48.74,77,0.72,10685
"Butts","Georgia",8406,71.38,3274,27.8,96,0.82,11776
"Calhoun","Georgia",923,41.99,1263,57.46,12,0.55,2198
"Camden","Georgia",15249,64.35,7967,33.62,482,2.03,23698
"Candler","Georgia",3133,70.71,1269,28.64,29,0.65,4431
"Carroll","Georgia",37476,68.76,16236,29.79,790,1.45,54502
"Catoosa","Georgia",25167,77.14,6932,21.25,527,1.61,32626
"Charlton","Georgia",3419,74.85,1105,24.19,44,0.96,4568
"Chatham","Georgia",53232,39.88,78247,58.62,2005,1.5,133484
"Chattahoochee","Georgia",880,55.63,667,42.16,35,2.21,1582
"Chattooga","Georgia",8064,80.21,1854,18.44,135,1.35,10053
"Cherokee","Georgia",99585,68.75,42779,29.53,2495,1.72,144859
"Clarke","Georgia",14450,28.1,36055,70.12,916,1.78,51421
"Clay","Georgia",637,44.36,791,55.08,8,0.56,1436
"Clayton","Georgia",15811,14.07,95466,84.94,1114,0.99,112391
"Clinch","Georgia",2105,73.55,744,26,13,0.45,2862
"Cobb","Georgia",165436,41.99,221847,56.3,6739,1.71,394022
"Coffee","Georgia",10578,69.53,4511,29.65,125,0.82,15214
"Colquitt","Georgia",11777,73.21,4190,26.05,120,0.74,16087
"Columbia","Georgia",50013,62.04,29232,36.26,1375,1.7,80620
"Cook","Georgia",4900,69.63,2059,29.26,78,1.11,7037
"Coweta","Georgia",51501,67.02,24210,31.5,1134,1.48,76845
"Crawford","Georgia",4428,72.57,1615,26.47,59,0.96,6102
"Crisp","Georgia",4985,62.03,2982,37.11,69,0.86,8036
"Dade","Georgia",6066,81.46,1261,16.93,120,1.61,7447
"Dawson","Georgia",13398,83.3,2486,15.46,200,1.24,16084
"Decatur","Georgia",6755,58.09,4782,41.12,91,0.79,11628
"DeKalb","Georgia",58377,15.74,308162,83.09,4338,1.17,370877
"Dodge","Georgia",5843,72.39,2172,26.91,57,0.7,8072
"Dooly","Georgia",2159,52.58,1911,46.54,36,0.88,4106
"Dougherty","Georgia",10441,29.59,24568,69.62,281,0.79,35290
"Douglas","Georgia",25454,36.82,42814,61.92,871,1.26,69139
"Early","Georgia",2710,52.24,2450,47.22,28,0.54,5188
"Echols","Georgia",1256,87.1,167,11.58,19,1.32,1442
"Effingham","Georgia",23361,73.98,7718,24.44,500,1.58,31579
"Elbert","Georgia",6226,67.85,2879,31.38,71,0.77,9176
